GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
749230906,20180420,201804,2018,2018.3014,MNCUSAHLH,ABBOTT LABORATORIES,USA,,,,,MNC,HLH,,,,,,,,,,,,1,10,10,1,1,0,10,1,10,0.198216056,1,Canada,CA,CA,60,-96,CA,0,,,,,,,1,Canada,CA,CA,60,-96,CA,20180420,https://stocknewstimes.com/2018/04/19/mariner-wealth-advisors-llc-acquires-12127-shares-of-abbott-laboratories-abt.html
749227195,20180420,201804,2018,2018.3014,MNCUSAHLH,ABBOTT LABORATORIES,USA,,,,,MNC,HLH,,RUS,RUSSIA,RUS,,,,,,,,0,111,111,11,3,-2,10,1,10,-2.612481858,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20180420,http://news.trust.org/item/20180418200143-f83nk/
749467026,20180420,201804,2018,2018.3014,MNCUSAHLH,ABIOMED,USA,,,,,MNC,HLH,,,,,,,,,,,,1,60,60,6,2,6,6,1,6,2.803738318,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,0,,,,,,,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,20180420,https://www.dicardiology.com/content/360-view-cath-lab-northwestern-medicine-central-dupage-hospital
749467027,20180420,201804,2018,2018.3014,MNCUSAHLH,ABIOMED,USA,,,,,MNC,HLH,,USA,UNITED STATES,USA,,,,,,,,1,60,60,6,2,6,2,1,2,2.803738318,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,20180420,https://www.dicardiology.com/content/360-view-cath-lab-northwestern-medicine-central-dupage-hospital
749420462,20180420,201804,2018,2018.3014,MNCUSAHLH,ABRAXIS BIOSCIENCE,USA,,,,,MNC,HLH,,MNCUSABUS,GENZYME CORPORATION,USA,,,,,MNC,BUS,,0,10,10,1,1,0,10,1,10,0.862998921,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20180420,http://forimmediaterelease.net/global-200-billion-opportunity-for-nanoparticle-drug-delivery-market-by-2024-size-current-trends-and-dynamics-236971/
749420463,20180420,201804,2018,2018.3014,MNCUSAHLH,ABRAXIS BIOSCIENCE,USA,,,,,MNC,HLH,,MNCUSABUS,GENZYME CORPORATION,USA,,,,,MNC,BUS,,0,84,84,8,2,7,10,1,10,0.862998921,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20180420,http://forimmediaterelease.net/global-200-billion-opportunity-for-nanoparticle-drug-delivery-market-by-2024-size-current-trends-and-dynamics-236971/
749488115,20180420,201804,2018,2018.3014,MNCUSA,ACTIVISION BLIZZARD,USA,,,,,MNC,,,,,,,,,,,,,0,16,16,1,1,-2,5,1,5,-6.906906907,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,0,,,,,,,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,20180420,https://www.callawyer.com/articles/347101-did-you-mark-i-didn-t-notice-the-marking-statute-and-licensed-patents
749250459,20180420,201804,2018,2018.3014,MNCUSA,AFLAC,USA,,,,,MNC,,,,,,,,,,,,,0,20,20,2,1,3,10,1,10,5.050505051,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20180420,http://www.causehub.com/blog/2018/04/19/chris-young-joins-aflac-to-present-first-ever-aflac-acm-lifting-lives-honor-for-excellence-in-music-therapy/
749392705,20180420,201804,2018,2018.3014,MNCUSA,AFLAC,USA,,,,,MNC,,,,,,,,,,,,,1,14,14,1,1,0,10,1,10,-10.71428571,1,United States,US,US,39.828175,-98.5795,US,0,,,,,,,1,United States,US,US,39.828175,-98.5795,US,20180420,https://wvrecord.com/stories/511395514-policyholder-alleges-aflac-breached-contract
749392707,20180420,201804,2018,2018.3014,MNCUSA,AFLAC,USA,,,,,MNC,,,,,,,,,,,,,1,128,128,12,3,-5,10,1,10,-10.71428571,1,United States,US,US,39.828175,-98.5795,US,0,,,,,,,1,United States,US,US,39.828175,-98.5795,US,20180420,https://wvrecord.com/stories/511395514-policyholder-alleges-aflac-breached-contract
